time, pgram
1.0,164877.38541666666
2.0,153422.2526
3.0,131011.93879833334
4.0,116372.18228166667
5.0,104927.641915
6.0,91151.78384166666
7.0,85627.24869
8.0,80106.98697166667
9.0,81885.06509666667
10.0,65949.23111850001
11.0,50907.20524166666
12.0,36818.45638133333
13.0,26561.95100983334
14.0,18516.012208166667
15.0,9255.496908333333
16.0,11512.976074833334
17.0,13483.481119999999
18.0,15716.302572
19.0,17920.448241833332
20.0,20137.801756833334
21.0,23219.929686666666
22.0,22559.192056666663
23.0,28220.684244999997
24.0,33899.31152333333
25.0,39738.333985
26.0,44882.52213666667
27.0,48269.00716333333
28.0,52260.475261666674
29.0,43882.70328866667
30.0,35144.11389266667
31.0,26639.55839133333
32.0,19117.41906766667
33.0,12640.090290833336
34.0,7162.852010166666
35.0,8231.171671499998
36.0,9746.773925833333
37.0,10787.062012166667
38.0,10816.655273833334
39.0,11190.807617333334
40.0,11862.127604666666
41.0,11546.192708833332
42.0,12915.756022166666
43.0,14289.548502166666
44.0,16185.001464166666
45.0,18521.425944166665
46.0,19878.288899166666
47.0,22157.023436666666
48.0,20816.829915
49.0,19275.439941666667
50.0,17975.26936833333
51.0,15119.841307833332
52.0,12670.361897499999
53.0,9714.6704915
54.0,8031.314453
55.0,6704.380207666666
56.0,4791.1303303333325
57.0,3830.209492833333
58.0,3015.539408166667
59.0,2373.457987333333
60.0,2421.755920333333
61.0,2462.1016235
62.0,2972.5712280000002
63.0,3347.191202833333
64.0,5349.893757833333
65.0,7359.758056333333
66.0,9254.732176833333
67.0,10953.909910666667
68.0,12676.703205166667
69.0,14446.444498333332
70.0,13323.521891166667
71.0,12158.610839666668
72.0,10474.702637166667
73.0,9026.303549166667
74.0,7101.744507666666
75.0,6228.461141
76.0,6227.815877333333
77.0,6646.098348166667
78.0,7624.120320666668
79.0,8410.581258166667
80.0,9456.079915333334
81.0,8528.033732000002
82.0,8144.802286666668
83.0,7125.529378
84.0,5842.405029166667
85.0,4754.821004
86.0,3704.6133623333335
87.0,3598.0295000000006
88.0,3150.375650833333
89.0,3117.008748166667
90.0,3127.1825355
91.0,3003.5292153333335
92.0,3298.0458576666665
93.0,3779.371866833333
94.0,4978.390299333333
95.0,6022.470865833333
96.0,7222.021687333333
97.0,8578.888914833333
98.0,9102.925454499999
99.0,9225.715575
100.0,8388.794188333333
101.0,7513.063312666666
102.0,6747.134276666667
103.0,5720.693359333333
104.0,5380.460123666667
105.0,5764.655680166667
106.0,6435.567952333334
107.0,7074.7854001666665
108.0,7278.253906166666
109.0,8011.2612303333335
110.0,8876.296711666668
111.0,8640.980793833334
112.0,8544.298095333334
113.0,8733.636393
114.0,9070.981526333331
115.0,8880.509846666666
116.0,7634.363077999999
117.0,7043.197713333332
118.0,6459.610962
119.0,5655.528605166666
120.0,5477.121704166667
121.0,5147.057007
122.0,5592.534179833333
123.0,6029.92334
124.0,6448.454427166666
125.0,6861.815673833332
126.0,6085.594034833332
127.0,6184.691284166667
128.0,6136.493448833334
129.0,5989.621541333333
130.0,5839.043253666667
131.0,5533.342326000001
132.0,6224.725993
133.0,6273.265136833333
134.0,6228.925618666667
135.0,6325.922770333334
136.0,6496.047119166667
137.0,7025.355875666667
138.0,7499.2667636666665
139.0,7865.781168
140.0,8392.106444666668
141.0,9319.414144
142.0,10176.594237833333
143.0,10821.071939833333
144.0,10455.943685333334
145.0,9891.997721666667
146.0,9293.078776333334
147.0,7527.6764115000005
148.0,5706.664835833333
149.0,4108.584920333334
150.0,3259.5211181666673
151.0,3671.9590251666664
152.0,4166.902709999999
153.0,5329.074768
154.0,6669.239664666667
155.0,7515.607503166667
156.0,8263.376546166666
157.0,7328.767008333333
158.0,6458.261637333333
159.0,5580.718058333333
160.0,4702.051717166666
161.0,4118.34375
162.0,3618.1060385
163.0,3789.7239178333334
164.0,3536.8854575
165.0,3336.409464666667
166.0,2814.0198467000005
167.0,2486.2737937
168.0,2139.614736033333
169.0,1931.3314515333332
170.0,3031.357086366667
171.0,4062.0001933666667
172.0,5274.131510499999
173.0,6200.985026166666
174.0,7201.940389166667
175.0,8266.268636166667
176.0,7331.474202499999
177.0,6580.220825333333
178.0,5859.0010581666675
179.0,5674.803466999999
180.0,5672.097168166667
181.0,5590.564778833334
182.0,6551.295247666666
183.0,7232.806762833333
184.0,8006.2229818333335
185.0,7930.021891333334
186.0,7165.2851155
187.0,6384.5443521666675
188.0,5418.819091666667
189.0,4482.943155833334
190.0,3344.9763590000002
191.0,2640.323506666667
192.0,2732.4419556666667
193.0,3078.3238323333335
194.0,3747.7339071666665
195.0,4503.699035833333
196.0,5565.984110666667
197.0,6872.736572333334
198.0,7522.347249333333
199.0,7597.325683499999
200.0,7373.641438666666
201.0,7336.355956833332
202.0,7009.753906000001
203.0,6050.178710666666
204.0,5351.3501381666665
205.0,4939.253499166667
206.0,4486.240356333334
207.0,3738.9605711666663
208.0,3185.545979666667
209.0,3044.2550455
210.0,2848.542521
211.0,2695.9991861666667
212.0,2712.422119166667
213.0,2900.5550129999997
214.0,2762.6389975
215.0,2604.235799166667
216.0,2932.6245525
217.0,3254.8184815
218.0,3830.0244955
219.0,4421.107828833334
220.0,5234.4980061666665
221.0,6116.362630333333
222.0,6258.8374025
223.0,6551.287597833333
224.0,6432.1738283333325
225.0,6030.862386333333
226.0,5707.383626666667
227.0,5222.5508629999995
228.0,5175.804606333333
229.0,4835.5300295
230.0,4572.947184333333
231.0,4560.731363999999
232.0,4505.898030666666
233.0,4506.488281166667
234.0,4322.3063151666665
235.0,4524.013102166667
236.0,4492.205525666666
237.0,4809.798950166666
238.0,4982.172241166666
239.0,5297.627726333333
240.0,5529.599975666667
241.0,5292.473673666666
242.0,5419.218424666667
243.0,4706.942322
244.0,4457.388610999999
245.0,3916.7713013333328
246.0,3638.784647666667
247.0,3590.6550090000005
248.0,3336.6015015
249.0,3691.385986333333
250.0,3336.6015015
251.0,3590.655009
252.0,3638.784647666667
253.0,3916.7713013333337
254.0,4457.388610999999
255.0,4706.942322
256.0,5419.218424666667
257.0,5292.473673666666
258.0,5529.599975666665
259.0,5297.627726333333
260.0,4982.172241166667
261.0,4809.798950166666
262.0,4492.205525666667
263.0,4524.013102166667
264.0,4322.3063151666665
265.0,4506.488281166667
266.0,4505.898030666666
267.0,4560.731364
268.0,4572.947184333333
269.0,4835.5300295
270.0,5175.804606333333
271.0,5222.5508629999995
272.0,5707.383626666667
273.0,6030.862386333333
274.0,6432.1738283333325
275.0,6551.287597833333
276.0,6258.8374025
277.0,6116.362630333333
278.0,5234.498006166667
279.0,4421.107828833334
280.0,3830.0244955
281.0,3254.8184815
282.0,2932.6245525
283.0,2604.2357991666668
284.0,2762.6389975
285.0,2900.5550129999997
286.0,2712.422119166667
287.0,2695.9991861666663
288.0,2848.542521
289.0,3044.2550455
290.0,3185.545979666667
291.0,3738.9605711666663
292.0,4486.240356333333
293.0,4939.253499166666
294.0,5351.350138166667
295.0,6050.178710666666
296.0,7009.753905999999
297.0,7336.355956833333
298.0,7373.6414386666665
299.0,7597.3256835
300.0,7522.347249333333
301.0,6872.736572333334
302.0,5565.984110666667
303.0,4503.699035833334
304.0,3747.7339071666665
305.0,3078.3238323333335
306.0,2732.4419556666667
307.0,2640.323506666666
308.0,3344.9763590000002
309.0,4482.943155833334
310.0,5418.819091666667
311.0,6384.5443521666675
312.0,7165.2851155
313.0,7930.021891333334
314.0,8006.2229818333335
315.0,7232.806762833334
316.0,6551.295247666666
317.0,5590.564778833334
318.0,5672.097168166666
319.0,5674.803467000001
320.0,5859.001058166666
321.0,6580.220825333333
322.0,7331.474202499999
323.0,8266.268636166666
324.0,7201.940389166666
325.0,6200.985026166666
326.0,5274.131510499999
327.0,4062.0001933666667
328.0,3031.357086366667
329.0,1931.3314515333332
330.0,2139.6147360333334
331.0,2486.2737937
332.0,2814.0198467000005
333.0,3336.409464666667
334.0,3536.8854575000005
335.0,3789.7239178333334
336.0,3618.1060385
337.0,4118.34375
338.0,4702.051717166666
339.0,5580.718058333333
340.0,6458.261637333333
341.0,7328.767008333333
342.0,8263.376546166666
343.0,7515.607503166666
344.0,6669.239664666667
345.0,5329.074768000001
346.0,4166.90271
347.0,3671.959025166667
348.0,3259.521118166667
349.0,4108.584920333334
350.0,5706.664835833333
351.0,7527.6764115000005
352.0,9293.078776333334
353.0,9891.997721666667
354.0,10455.943685333334
355.0,10821.071939833333
356.0,10176.594237833333
357.0,9319.414144
358.0,8392.106444666666
359.0,7865.781168
360.0,7499.266763666667
361.0,7025.355875666667
362.0,6496.047119166667
363.0,6325.922770333334
364.0,6228.925618666667
365.0,6273.265136833333
366.0,6224.725993
367.0,5533.342326000001
368.0,5839.043253666667
369.0,5989.621541333334
370.0,6136.493448833334
371.0,6184.691284166667
372.0,6085.594034833332
373.0,6861.815673833332
374.0,6448.454427166667
375.0,6029.92334
376.0,5592.534179833333
377.0,5147.057006999999
378.0,5477.121704166667
379.0,5655.528605166666
380.0,6459.610961999999
381.0,7043.197713333332
382.0,7634.363077999999
383.0,8880.509846666666
384.0,9070.981526333333
385.0,8733.636392999999
386.0,8544.298095333334
387.0,8640.980793833334
388.0,8876.296711666668
389.0,8011.261230333333
390.0,7278.253906166668
391.0,7074.7854001666665
392.0,6435.567952333334
393.0,5764.655680166667
394.0,5380.460123666667
395.0,5720.693359333333
396.0,6747.134276666667
397.0,7513.063312666666
398.0,8388.794188333333
399.0,9225.715575
400.0,9102.9254545
401.0,8578.888914833335
402.0,7222.021687333333
403.0,6022.470865833333
404.0,4978.390299333333
405.0,3779.3718668333336
406.0,3298.0458576666665
407.0,3003.5292153333335
408.0,3127.1825355
409.0,3117.008748166667
410.0,3150.3756508333336
411.0,3598.0295
412.0,3704.6133623333335
413.0,4754.821004
414.0,5842.405029166667
415.0,7125.529378
416.0,8144.802286666668
417.0,8528.033731999998
418.0,9456.079915333334
419.0,8410.581258166667
420.0,7624.120320666666
421.0,6646.098348166667
422.0,6227.815877333333
423.0,6228.461141
424.0,7101.744507666666
425.0,9026.303549166667
426.0,10474.702637166667
427.0,12158.610839666666
428.0,13323.521891166667
429.0,14446.444498333332
430.0,12676.703205166668
431.0,10953.909910666667
432.0,9254.732176833333
433.0,7359.758056333333
434.0,5349.893757833333
435.0,3347.1912028333336
436.0,2972.5712280000002
437.0,2462.1016235
438.0,2421.7559203333335
439.0,2373.4579873333337
440.0,3015.539408166667
441.0,3830.209492833333
442.0,4791.130330333333
443.0,6704.380207666666
444.0,8031.314453
445.0,9714.670491500001
446.0,12670.361897499999
447.0,15119.841307833332
448.0,17975.269368333335
449.0,19275.439941666667
450.0,20816.829915
451.0,22157.023436666666
452.0,19878.288899166666
453.0,18521.425944166665
454.0,16185.001464166666
455.0,14289.548502166666
456.0,12915.756022166666
457.0,11546.192708833332
458.0,11862.127604666668
459.0,11190.807617333334
460.0,10816.655273833332
461.0,10787.062012166667
462.0,9746.773925833333
463.0,8231.1716715
464.0,7162.852010166668
465.0,12640.090290833332
466.0,19117.419067666666
467.0,26639.558391333336
468.0,35144.11389266667
469.0,43882.70328866667
470.0,52260.47526166667
471.0,48269.007163333335
472.0,44882.52213666667
473.0,39738.333985
474.0,33899.31152333333
475.0,28220.684244999997
476.0,22559.192056666667
477.0,23219.929686666666
478.0,20137.801756833334
479.0,17920.448241833332
480.0,15716.302572
481.0,13483.481119999999
482.0,11512.976074833334
483.0,9255.496908333333
484.0,18516.012208166667
485.0,26561.95100983333
486.0,36818.45638133333
487.0,50907.20524166666
488.0,65949.2311185
489.0,81885.06509666667
490.0,80106.98697166667
491.0,85627.24869000001
492.0,91151.78384166666
493.0,104927.641915
494.0,116372.18228166667
495.0,131011.93879833333
496.0,153422.2526
497.0,164877.38541666666
498.0,184820.3724
499.0,202967.50261666664
500.0,222398.11199999996
501.0,233154.4114833333
502.0,244478.1458666666
503.0,258767.84898333333
504.0,248138.57554999998
505.0,201162.9607955
506.0,154161.34311133335
507.0,111899.06710616668
508.0,69854.09436016667
509.0,29459.370568833332
510.0,3537.8149006666667
511.0,3701.9057210000005
512.0,3877.3769125
513.0,4094.6759441666673
514.0,4245.399984000001
515.0,4434.314372
516.0,4600.592204
517.0,4792.094726833333
518.0,4989.8002118333325
519.0,5190.462239833333
520.0,5345.263102333333
521.0,5457.416992333333
522.0,5543.760661
523.0,5552.049642166668
524.0,5476.267822499999
525.0,5289.8710125
526.0,5159.3540041666665
527.0,4948.944092
528.0,4778.4266765
529.0,4670.839843833333
530.0,4572.159505333333
531.0,4565.5668946666665
532.0,4480.916666666667
533.0,4478.894449833333
534.0,4416.539225333333
535.0,4338.590576166666
536.0,4325.292154833333
537.0,4295.2469075
538.0,4334.591471333333
539.0,4383.991617833333
540.0,4463.784016833334
541.0,4508.546874999999
542.0,4523.6757
543.0,4530.408203166667
544.0,4535.760416666666
545.0,4526.1117349999995
546.0,4492.644531333332
547.0,4467.7342936666655
548.0,4425.1129556666665
549.0,4359.009277333334
550.0,4227.1065266666665
551.0,4064.0393473333334
552.0,3915.819458
553.0,3758.2148030000003
554.0,3591.017618833333
555.0,3450.853515666666
556.0,3352.8632000000002
557.0,3253.2631429999997
558.0,3132.6196696666666
559.0,3018.0765381666665
560.0,2979.2994791666665
561.0,2996.2229816666672
562.0,3016.616088833334
563.0,3056.4631754999996
564.0,
565.0,
566.0,
567.0,
568.0,
569.0,
570.0,
